id,titulo,localización,precio,Planta,Ascensor,EXT-INT,superficie_m2,habitaciones,baños,terraza,estado,armarios_empotrados,orientacion,año_construccion,calefaccion,aire_acondicionado,direccion,distrito,municipio,zona
108585083,Piso en venta en Chueca-Justicia,Centro,1650000,2, Si,Exterior,202.0,3.0,2.0,False,Segunda mano/buen estado,True,Este,,,True,,Distrito Centro,"Madrid capital, Madrid",
98278992,Estudio en venta en Sol,Centro,415000,2, Si,Exterior,57.0,,,False,Segunda mano/buen estado,True,,1905.0,,True,,Distrito Centro,"Madrid capital, Madrid",
107180416,Piso en venta en calle de San Bernardo,Malasaña-Universidad,1395000,4, Si,Exterior,128.0,2.0,2.0,False,Segunda mano/buen estado,True,,,Gas natural,True,Calle de San Bernardo,Distrito Centro,"Madrid capital, Madrid",
108441987,Piso en venta en calle de la Ballesta,Malasaña-Universidad,1592000,2, No,Exterior,207.0,7.0,2.0,False,Segunda mano/buen estado,False,Este,1900.0,,False,Calle de la Ballesta,Distrito Centro,"Madrid capital, Madrid",
108367251,Piso en venta en calle de las Pozas,Malasaña-Universidad,1150000,3, Si,Exterior,137.0,3.0,2.0,False,Segunda mano/buen estado,True,Oeste,1900.0,,True,Calle de las Pozas,Distrito Centro,"Madrid capital, Madrid",
108568454,Piso en venta en calle de Fuencarral,Malasaña-Universidad,995000,3, Si,Exterior,129.0,2.0,2.0,False,Segunda mano/buen estado,True,Este,1986.0,,True,Calle de Fuencarral,Distrito Centro,"Madrid capital, Madrid",
108032326,Piso en venta en Carrera de San Francisco,Palacio,790000,2, Si,Interior,69.0,2.0,,False,Segunda mano/buen estado,True,Norte,2012.0,Gas natural,True,,Distrito Centro,"Madrid capital, Madrid",
107558790,Piso en venta en plaza Mayor,Sol,2395000,4, Si,Exterior,171.0,3.0,2.0,False,Segunda mano/para reformar,False,,1820.0,,True,Plaza Mayor,Distrito Centro,"Madrid capital, Madrid",
105639958,"Piso en venta en calle de Fuencarral, 106",Chueca-Justicia,1555000,1, Si,Exterior,220.0,5.0,2.0,False,Segunda mano/buen estado,True,Oeste,,Gas natural,False,"Calle de Fuencarral, 106",Distrito Centro,"Madrid capital, Madrid",
108508127,Piso en venta en calle de San Marcos,Chueca-Justicia,560000,4, No,Exterior,63.0,2.0,2.0,False,Segunda mano/buen estado,False,,1900.0,,False,Calle de San Marcos,Distrito Centro,"Madrid capital, Madrid",
108617475,Piso en venta en calle de la Flor Alta,Malasaña-Universidad,1500000,3, Si,Exterior,211.0,4.0,2.0,False,Segunda mano/buen estado,False,,1905.0,Gas natural,False,Calle de la Flor Alta,Distrito Centro,"Madrid capital, Madrid",
