id,Planta,Ascensor,EXT-INT,titulo,localización,precio,superficie_m2,habitaciones,baños,terraza,estado,armarios_empotrados,orientacion,año_construccion,calefaccion,aire_acondicionado,direccion,distrito,municipio,zona
108586793,1, No,Interior,Alquiler de piso en calle del Castillo,Trafalgar,1100,45,,,False,Segunda mano/buen estado,True,Sur,,Eléctrica,True,Calle del Castillo,Distrito Chamberí,"Madrid capital, Madrid",
108054390,1, No,Interior,"Alquiler de piso en calle del Cardenal Cisneros, 21",Trafalgar,1250,40,,,False,Segunda mano/buen estado,False,,,,False,"Calle del Cardenal Cisneros, 21",Distrito Chamberí,"Madrid capital, Madrid",
107635151,1, No,Interior,"Alquiler de piso en calle de Medellín, 9",Trafalgar,1430,45,2.0,,False,Segunda mano/buen estado,True,Este,,Eléctrica,True,"Calle de Medellín, 9",Distrito Chamberí,"Madrid capital, Madrid",
107635151,1, No,Interior,"Alquiler de piso en calle de Medellín, 9",Trafalgar,1430,45,2.0,,False,Segunda mano/buen estado,True,Este,,Eléctrica,True,"Calle de Medellín, 9",Distrito Chamberí,"Madrid capital, Madrid",
108330957,1, No,Exterior,Alquiler de piso en calle de Fernando el Católico,Gaztambide,1300,54,2.0,,False,Segunda mano/buen estado,False,Norte,1950.0,Gas natural,False,Calle de Fernando el Católico,Distrito Chamberí,"Madrid capital, Madrid",
108546243,1, No,Exterior,Alquiler de piso en Trafalgar,Chamberí,1150,45,,,False,Segunda mano/buen estado,False,Este,1940.0,Gas natural,True,,Distrito Chamberí,"Madrid capital, Madrid",
107908670,1, No,Exterior,"Alquiler de estudio en calle de Bravo Murillo, 9",Arapiles,1250,30,,,False,Segunda mano/buen estado,False,,,Gas natural,True,"Calle de Bravo Murillo, 9",Distrito Chamberí,"Madrid capital, Madrid",
96118297,1, No,Interior,"Alquiler de piso en calle de Joaquín María López, 10",Arapiles,1300,48,2.0,,False,Segunda mano/buen estado,False,,,Eléctrica,False,"Calle de Joaquín María López, 10",Distrito Chamberí,"Madrid capital, Madrid",
36774154,1, No,Interior,"Alquiler de piso en calle de Meléndez Valdés, 53",Gaztambide,1400,40,,,False,Segunda mano/buen estado,True,,,Bomba de frío/calor,True,"Calle de Meléndez Valdés, 53",Distrito Chamberí,"Madrid capital, Madrid",
108163423,1, No,Exterior,"Alquiler de piso en calle de Fuencarral, 60",Trafalgar,950,40,,,False,Segunda mano/buen estado,False,,,,True,"Calle de Fuencarral, 60",Distrito Chamberí,"Madrid capital, Madrid",
81738540,1, No,Interior,"Alquiler de estudio en calle del Castillo, 11",Trafalgar,1150,45,,,False,Segunda mano/buen estado,True,,,,True,"Calle del Castillo, 11",Distrito Chamberí,"Madrid capital, Madrid",
95639614,1, No,Interior,Alquiler de estudio en via Gran vía,Casco Antiguo,690,30,,,True,Segunda mano/buen estado,False,Sur,,,False,,Distrito Casco Antiguo,Majadahonda,"Zona noroeste, Madrid"
30143507,1, No,Exterior,Alquiler de piso en Aravaca,Moncloa,980,65,,,False,Segunda mano/buen estado,True,,,,False,,Distrito Moncloa,"Madrid capital, Madrid",
89510553,1, No,Exterior,"Alquiler de dúplex en avenida de Europa, 27",Aravaca,2000,100,2.0,,True,Segunda mano/buen estado,True,Norte,1991.0,Eléctrica,True,,Distrito Moncloa,"Madrid capital, Madrid",
105623326,1, No,Interior,Alquiler de estudio en calle de Juan Álvarez Mendizábal,Argüelles,1040,42,,,False,Segunda mano/buen estado,False,Norte,,Bomba de frío/calor,True,Calle de Juan Álvarez Mendizábal,Distrito Moncloa,"Madrid capital, Madrid",
106648096,1, No,Exterior,Alquiler de estudio en calle del Zenit,Aravaca,910,35,,,True,Segunda mano/buen estado,True,,,,True,Calle del Zenit,Distrito Moncloa,"Madrid capital, Madrid",
2087877,1, No,Exterior,"Alquiler de piso en calle Juan Alvarez Mendizábal, 6",Argüelles,1600,73,,,False,Segunda mano/buen estado,True,Sur,,,True,"Calle Juan Alvarez Mendizábal, 6",Distrito Moncloa,"Madrid capital, Madrid",
108493351,1, No,Exterior,"Alquiler de piso en calle del Arquitecto Sánchez Arcas, 5",Ciudad Universitaria,1350,39,,,False,Segunda mano/buen estado,True,,,,True,"Calle del Arquitecto Sánchez Arcas, 5",Distrito Moncloa,"Madrid capital, Madrid",
108551861,1, No,Exterior,Alquiler de piso en Aravaca,Moncloa,1800,75,2.0,2.0,False,Segunda mano/buen estado,True,,,,True,,Distrito Moncloa,"Madrid capital, Madrid",
2163257,1, No,Exterior,"Alquiler de piso en calle Florencio Rodríguez, 1",Aravaca,1200,75,2.0,,False,Segunda mano/buen estado,True,Norte,,Gas natural,True,"Calle Florencio Rodríguez, 1",Distrito Moncloa,"Madrid capital, Madrid",
108643994,1, No,Exterior,Alquiler de piso en avenida de Europa,Zona Avenida Europa,1450,42,,,True,Segunda mano/buen estado,False,Oeste,,Gas natural,True,,Distrito Zona Avenida Europa,Pozuelo de Alarcón,"Zona noroeste, Madrid"
27894850,1, No,Exterior,Alquiler de piso en calle Ramon Jimenez,Zona Pueblo,825,55,,,False,Segunda mano/buen estado,True,Este,1997.0,Eléctrica,False,Calle Ramon Jimenez,Distrito Zona Pueblo,Pozuelo de Alarcón,"Zona noroeste, Madrid"
108641797,1, No,Exterior,Alquiler de piso en calle de Máiquez,Ibiza,1400,50,2.0,,False,Segunda mano/buen estado,False,,,,False,Calle de Máiquez,Distrito Retiro,"Madrid capital, Madrid",
108290549,1, No,Exterior,Alquiler de piso en calle de Ibiza,Ibiza,1900,66,2.0,,False,Segunda mano/buen estado,False,,,Gas natural,False,Calle de Ibiza,Distrito Retiro,"Madrid capital, Madrid",
102865527,1, No,Exterior,Alquiler de piso en calle de Valderribas,Pacífico,3358,88,4.0,2.0,False,Segunda mano/buen estado,False,,,,True,Calle de Valderribas,Distrito Retiro,"Madrid capital, Madrid",
88652001,1, No,Exterior,Alquiler de piso en Alcalde Sainz de Baranda,Ibiza,2835,70,2.0,2.0,False,Segunda mano/buen estado,True,,,Gas natural,True,,Distrito Retiro,"Madrid capital, Madrid",
107097773,1, No,Exterior,"Alquiler de piso en calle de la Estrella Polar, 16",Estrella,1550,45,,,False,Segunda mano/buen estado,True,Este,,Gas natural,True,"Calle de la Estrella Polar, 16",Distrito Retiro,"Madrid capital, Madrid",
108494176,1, No,Exterior,Alquiler de ático en Las Matas- Peñascales,Las Matas- Peñascales,1350,75,2.0,,True,Segunda mano/buen estado,True,Sur,,Gas natural,True,,Distrito Las Matas- Peñascales,Las Rozas de Madrid,"Zona noroeste, Madrid"
98447070,1, No,Exterior,Alquiler de piso en calle del General Oraá,Castellana,2500,73,2.0,2.0,False,Segunda mano/buen estado,True,Norte,1920.0,,True,Calle del General Oraá,Distrito Barrio de Salamanca,"Madrid capital, Madrid",
105969359,1, No,Exterior,"Alquiler de piso en calle de Agustín Durán, 22",Guindalera,1400,51,2.0,,False,Segunda mano/buen estado,True,,,,True,"Calle de Agustín Durán, 22",Distrito Barrio de Salamanca,"Madrid capital, Madrid",
105831748,1, No,Exterior,"Alquiler de estudio en calle de Francisco Silvela, 67",Lista,980,32,,,False,Segunda mano/buen estado,True,,1987.0,,True,"Calle de Francisco Silvela, 67",Distrito Barrio de Salamanca,"Madrid capital, Madrid",
108629448,1, No,Exterior,Alquiler de piso en calle de María de Molina,Castellana,2800,100,2.0,2.0,False,Segunda mano/buen estado,True,,1920.0,,True,Calle de María de Molina,Distrito Barrio de Salamanca,"Madrid capital, Madrid",
