id;Planta;Ascensor;EXT-INT
108589476;1; Si;Exterior
108313250;1; No;Exterior
108539634;1; No;Exterior
108294031;1; Si;Exterior
108550635;1; Si;Exterior
91759517;1; Si;Exterior
107705459;1; Si;Exterior
107888433;1; Si;Exterior
108293707;1; Si;Exterior
106127054;1; No;Exterior
108048594;1; Si;Exterior
107093066;1; Si;Exterior
108475992;1; Si;Exterior
107180459;1; Si;Exterior
108602628;1; Si;Exterior
103282769;1; Si;Exterior
107851564;1; Si;Exterior
93853598;1; Si;Exterior
101434289;1; Si;Exterior
107730731;1; Si;Exterior
108596831;1; Si;Exterior
108164372;1; Si;Exterior
108214833;1; Si;Interior
108594745;1; Si;Exterior
108581116;1; Si;Exterior
107882091;1; Si;Exterior
108078265;1; Si;Exterior
107838332;1; No;Exterior
108167588;1; Si;Exterior
108112256;1; Si;Exterior
108450169;1; Si;Interior
107546319;1; Si;Exterior
107621262;1; Si;Exterior
107664481;1; Si;Exterior
108565760;1; Si;Exterior
107005810;1; Si;Exterior
106992057;1; Si;Exterior
107591847;1; Si;Exterior
108075953;1; Si;Exterior
107673530;1; Si;Exterior
108197863;1; Si;Exterior
95025592;1; Si;Exterior
107891397;1; Si;Exterior
108526332;1;;
108279098;1; No;Exterior
105995506;1; Si;Exterior
107329086;1; Si;Exterior
107329048;1; Si;Exterior
107688994;1; Si;Exterior
108258626;1; Si;Exterior
107916016;1; Si;Exterior
108181922;1; Si;Exterior
108241422;1; Si;Exterior
107599650;1; Si;Exterior
108079902;1; Si;Exterior
106598123;1; Si;Exterior
107329050;1; Si;Exterior
108437814;1; Si;Exterior
108536754;1; Si;Exterior
106166865;1; Si;Exterior
108076570;1; Si;Exterior
106422130;1; Si;Exterior
108586612;1; Si;Exterior
108381802;1; Si;Exterior
108381917;1; Si;Exterior
108580182;1; Si;Exterior
107944534;1; Si;Exterior
108445669;1; No;Exterior
107077215;1; Si;Exterior
108426196;1; Si;Exterior
27714897;1; Si;Exterior
108301481;1; Si;Exterior
108461914;1; Si;Exterior
88505308;1; No;Exterior
108296386;1; Si;Exterior
107534347;1; Si;Exterior
108551477;1; Si;Exterior
108499586;1; Si;Exterior
2006085;1; Si;Exterior
107068133;1; Si;Exterior
103839118;1; Si;Exterior
108630195;1; Si;Exterior
108573489;1; Si;Exterior
108105440;1; Si;Exterior
107284132;1; Si;Exterior
107547505;1; Si;Exterior
107410442;1; Si;Exterior
107650677;1; Si;Interior
108575333;1; Si;Exterior
108026595;1; Si;Exterior
107566357;1; Si;Interior
107473803;1; Si;Exterior
108458803;1; Si;Interior
105903602;1; Si;Exterior
108352240;1; Si;Exterior
108451382;1; No;Interior
93478674;1; Si;Exterior
108439021;1; Si;Exterior
107190796;1; Si;Exterior
107927327;1; Si;Exterior
108377262;1; Si;Exterior
108564604;1; No;Exterior
108452779;1; Si;Interior
108476954;1; Si;Exterior
108394062;1; Si;Exterior
108084824;1; Si;Exterior
106350952;1; Si;Exterior
108522379;1; Si;Exterior
107541046;1; Si;Exterior
108435053;1; Si;Exterior
108537590;1; Si;Exterior
107887229;1; Si;Exterior
108619962;1; Si;Exterior
108307393;1; Si;Exterior
108511719;1; Si;Exterior
108593014;1; Si;Exterior
108557666;1; Si;Exterior
107437615;1; Si;Exterior
107821049;1; Si;Interior
107727659;1; Si;Exterior
107055439;1; Si;Exterior
108496507;1; Si;Exterior
108491382;1; Si;Exterior
107678145;1; Si;Exterior
105548262;1; Si;Exterior
108392718;1; Si;Exterior
105882998;1; Si;Exterior
107250782;1; Si;Exterior
106666228;1; Si;Exterior
108193255;1; Si;Exterior
105165420;1; Si;Exterior
108593657;1; Si;Exterior
108569914;1; No;Interior
