precio;vivienda;m2;habitaciones;baños;estado;armarios_empotrados;aire_acondicionado;distrito;municipio;precio_m2;tipo_vivienda
1090;estudio;30;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;36.33;Piso
2500;piso;80;2;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;31.25;Piso
1900;piso;80;3;1;Segunda mano/buen estado;True;False;Distrito Centro;Madrid capital, Madrid;23.75;Piso
1600;piso;62;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;25.81;Piso
900;piso;35;0;1;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital, Madrid;25.71;Piso
1400;piso;65;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;21.54;Piso
850;estudio;35;0;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;24.29;Piso
2300;piso;100;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;23.0;Piso
1500;piso;98;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;15.31;Piso
2300;piso;67;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;34.33;Piso
1650;piso;57;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;28.95;Piso
1650;piso;50;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;33.0;Piso
1700;piso;100;2;2;Segunda mano/buen estado;True;False;Distrito Centro;Madrid capital, Madrid;17.0;Piso
3200;piso;87;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;36.78;Piso
1050;ático;45;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;23.33;Piso
11000;piso;557;6;7;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;19.75;Piso
2295;piso;69;2;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;33.26;Piso
1600;piso;59;0;1;Segunda mano/buen estado;True;False;Distrito Centro;Madrid capital, Madrid;27.12;Piso
1450;piso;50;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;29.0;Piso
2950;piso;89;3;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;33.15;Piso
2050;piso;85;2;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;24.12;Piso
1550;piso;80;2;1;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital, Madrid;19.38;Piso
3500;piso;129;3;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;27.13;Piso
2200;dúplex;92;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;23.91;other
1100;estudio;28;0;1;Segunda mano/buen estado;True;False;Distrito Centro;Madrid capital, Madrid;39.29;Piso
2460;dúplex;50;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;49.2;other
2300;piso;68;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;33.82;Piso
2400;piso;56;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;42.86;Piso
2300;piso;68;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;33.82;Piso
2380;piso;56;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;42.5;Piso
900;piso;35;0;1;Segunda mano/buen estado;True;False;Distrito Centro;Madrid capital, Madrid;25.71;Piso
2400;ático;78;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;30.77;Piso
1100;estudio;34;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;32.35;Piso
2500;piso;68;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;36.76;Piso
1550;estudio;38;0;1;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital, Madrid;40.79;Piso
3680;piso;140;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;26.29;Piso
1000;piso;50;0;1;Segunda mano/buen estado;True;False;Distrito Centro;Madrid capital, Madrid;20.0;Piso
2500;piso;82;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;30.49;Piso
1700;piso;114;2;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;14.91;Piso
2500;piso;120;2;2;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;20.83;Piso
1200;ático;38;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;31.58;Piso
4000;ático;95;2;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;42.11;Piso
1650;piso;71;2;1;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital, Madrid;23.24;Piso
880;piso;40;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;22.0;Piso
1100;piso;40;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;27.5;Piso
3000;piso;108;0;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;27.78;Piso
1800;piso;108;3;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;16.67;Piso
1500;piso;100;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;15.0;Piso
1000;estudio;30;0;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;33.33;Piso
1490;piso;80;2;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;18.62;Piso
1650;piso;40;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;41.25;Piso
1350;piso;83;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;16.27;Piso
2000;dúplex;106;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;18.87;other
900;piso;43;0;1;Segunda mano/buen estado;True;False;Distrito Centro;Madrid capital, Madrid;20.93;Piso
2633;piso;90;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;29.26;Piso
1150;piso;50;0;1;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital, Madrid;23.0;Piso
