precio;m2;habitaciones;baños;estado;armarios_empotrados;aire_acondicionado;barrio;distrito;ciudad;Ascensor;EXT-INT;vivienda;precio_m2;tipo_vivienda;Planta_num;barrio_encoded;estado_encoded;EXT-INT_encoded;Ascensor_encoded
1395000;128;2;2;Segunda mano/buen estado;True;True;Malasaña-Universidad;Centro;Madrid capital; Si;Exterior;Piso;10898.44;Piso;4.0;39;0;0;1
1592000;207;7;2;Segunda mano/buen estado;False;False;Malasaña-Universidad;Centro;Madrid capital; No;Exterior;Piso;7690.82;Piso;2.0;39;0;0;0
1150000;137;3;2;Segunda mano/buen estado;True;True;Malasaña-Universidad;Centro;Madrid capital; Si;Exterior;Piso;8394.16;Piso;3.0;39;0;0;1
995000;129;2;2;Segunda mano/buen estado;True;True;Malasaña-Universidad;Centro;Madrid capital; Si;Exterior;Piso;7713.18;Piso;3.0;39;0;0;1
790000;69;2;;Segunda mano/buen estado;True;True;Palacio;Centro;Madrid capital; Si;Interior;Piso;11449.28;Piso;2.0;50;0;1;1
2395000;171;3;2;Segunda mano/para reformar;False;True;Sol;Centro;Madrid capital; Si;Exterior;Piso;14005.85;Piso;4.0;57;1;0;1
1555000;220;5;2;Segunda mano/buen estado;True;False;Chueca-Justicia;Centro;Madrid capital; Si;Exterior;Piso;7068.18;Piso;1.0;12;0;0;1
560000;63;2;2;Segunda mano/buen estado;False;False;Chueca-Justicia;Centro;Madrid capital; No;Exterior;Piso;8888.89;Piso;4.0;12;0;0;0
1500000;211;4;2;Segunda mano/buen estado;False;False;Malasaña-Universidad;Centro;Madrid capital; Si;Exterior;Piso;7109.0;Piso;3.0;39;0;0;1
1650000;210;3;2;Segunda mano/para reformar;True;True;Malasaña-Universidad;Centro;Madrid capital; Si;Exterior;Piso;7857.14;Piso;2.0;39;1;0;1
475000;81;2;2;Segunda mano/buen estado;False;False;Malasaña-Universidad;Centro;Madrid capital; No;Interior;Piso;5864.2;Piso;0.0;39;0;1;0
1690000;145;2;2;Segunda mano/buen estado;True;True;Sol;Centro;Madrid capital; Si;Exterior;Dúplex;11655.17;Piso;5.0;57;0;0;1
2200000;120;2;2;Segunda mano/buen estado;True;True;Huertas-Cortes;Centro;Madrid capital; Si;Exterior;Piso;18333.33;Piso;6.0;30;0;0;1
949000;226;8;3;Segunda mano/buen estado;False;False;Lavapiés-Embajadores;Centro;Madrid capital; Si;Exterior;Piso;4199.12;Piso;;38;0;0;1
980000;147;2;2;Segunda mano/buen estado;True;True;Sol;Centro;Madrid capital; Si;Exterior;Piso;6666.67;Piso;3.0;57;0;0;1
1249000;146;3;3;Segunda mano/buen estado;False;True;Palacio;Centro;Madrid capital; Si;Exterior;Piso;8554.79;Piso;5.0;50;0;0;1
2675000;250;3;3;Segunda mano/buen estado;True;True;Palacio;Centro;Madrid capital; Si;Exterior;Piso;10700.0;Piso;1.0;50;0;0;1
875000;107;2;2;Segunda mano/buen estado;True;True;Malasaña-Universidad;Centro;Madrid capital; Si;Exterior;Piso;8177.57;Piso;4.0;39;0;0;1
895000;106;2;;Segunda mano/buen estado;False;True;Palacio;Centro;Madrid capital; Si;Exterior;Piso;8443.4;Piso;4.0;50;0;0;1
600000;41;;;Segunda mano/buen estado;True;True;Chueca-Justicia;Centro;Madrid capital; Si;Interior;Piso;14634.15;Piso;2.0;12;0;1;1
970000;142;3;;Segunda mano/para reformar;False;False;Sol;Centro;Madrid capital; Si;Exterior;Piso;6830.99;Piso;5.0;57;1;0;1
1500000;150;2;3;Segunda mano/buen estado;True;True;Malasaña-Universidad;Centro;Madrid capital; Si;Exterior;Piso;10000.0;Piso;3.0;39;0;0;1
329000;65;3;;Segunda mano/buen estado;False;False;Malasaña-Universidad;Centro;Madrid capital; No;Interior;Piso;5061.54;Piso;2.0;39;0;1;0
1950000;124;2;2;Segunda mano/buen estado;True;True;Malasaña-Universidad;Centro;Madrid capital; Si;Exterior;Piso;15725.81;Piso;3.0;39;0;0;1
790000;96;3;2;Segunda mano/buen estado;False;True;Malasaña-Universidad;Centro;Madrid capital; Si;Exterior;Piso;8229.17;Piso;;39;0;0;1
1119000;139;3;3;Segunda mano/buen estado;False;True;Sol;Centro;Madrid capital;;;Piso;8050.36;Piso;;57;0;2;2
720000;98;3;2;Segunda mano/buen estado;True;True;Malasaña-Universidad;Centro;Madrid capital; Si;Exterior;Piso;7346.94;Piso;1.0;39;0;0;1
895000;117;3;2;Segunda mano/buen estado;True;True;Lavapiés-Embajadores;Centro;Madrid capital; Si;Exterior;Piso;7649.57;Piso;5.0;38;0;0;1
1589000;129;3;3;Segunda mano/buen estado;True;True;Huertas-Cortes;Centro;Madrid capital; Si;Exterior;Piso;12317.83;Piso;3.0;30;0;0;1
660000;102;2;;Segunda mano/buen estado;True;True;Malasaña-Universidad;Centro;Madrid capital; Si;Exterior;Ático;6470.59;Piso;4.0;39;0;0;1
1190000;139;2;3;Segunda mano/buen estado;True;True;Malasaña-Universidad;Centro;Madrid capital; Si;Exterior;Piso;8561.15;Piso;1.0;39;0;0;1
680000;78;2;2;Segunda mano/buen estado;True;True;Malasaña-Universidad;Centro;Madrid capital; Si;Interior;Piso;8717.95;Piso;1.0;39;0;1;1
739000;134;4;3;Segunda mano/para reformar;True;True;Lavapiés-Embajadores;Centro;Madrid capital; Si;Exterior;Piso;5514.93;Piso;2.0;38;1;0;1
525000;119;2;2;Segunda mano/buen estado;True;True;Huertas-Cortes;Centro;Madrid capital; Si;Exterior;Piso;4411.76;Piso;1.0;30;0;0;1
1495000;164;3;3;Segunda mano/buen estado;True;True;Palacio;Centro;Madrid capital; Si;Exterior;Piso;9115.85;Piso;2.0;50;0;0;1
1800000;168;3;2;Segunda mano/buen estado;False;True;Chueca-Justicia;Centro;Madrid capital; Si;Exterior;Dúplex;10714.29;Piso;4.0;12;0;0;1
749000;80;2;2;Segunda mano/buen estado;True;True;Malasaña-Universidad;Centro;Madrid capital;;;Piso;9362.5;Piso;;39;0;2;2
365000;44;;;Segunda mano/buen estado;True;False;Sol;Centro;Madrid capital;;;Piso;8295.45;Piso;;57;0;2;2
749000;80;2;2;Segunda mano/buen estado;True;True;Malasaña-Universidad;Centro;Madrid capital;;;Piso;9362.5;Piso;;39;0;2;2
1100000;164;3;2;Segunda mano/buen estado;True;True;Sol;Centro;Madrid capital; Si;Exterior;Piso;6707.32;Piso;2.0;57;0;0;1
595000;49;2;;Segunda mano/buen estado;True;True;Sol;Centro;Madrid capital; Si;Exterior;Piso;12142.86;Piso;5.0;57;0;0;1
795000;118;3;2;Segunda mano/buen estado;False;False;Palacio;Centro;Madrid capital; Si;Exterior;Piso;6737.29;Piso;2.0;50;0;0;1
1650000;171;3;2;Segunda mano/buen estado;False;False;Palacio;Centro;Madrid capital; Si;Exterior;Piso;9649.12;Piso;3.0;50;0;0;1
575000;71;2;2;Segunda mano/buen estado;False;False;Chueca-Justicia;Centro;Madrid capital; No;Exterior;Piso;8098.59;Piso;2.0;12;0;0;0
799000;140;5;;Segunda mano/buen estado;False;False;Sol;Centro;Madrid capital; Si;Interior;Piso;5707.14;Piso;3.0;57;0;1;1
2400000;181;4;4;Segunda mano/buen estado;False;True;Sol;Centro;Madrid capital; No;Exterior;Piso;13259.67;Piso;4.0;57;0;0;0
1150000;123;2;;Segunda mano/buen estado;False;True;Malasaña-Universidad;Centro;Madrid capital; Si;Exterior;Ático;9349.59;Piso;5.0;39;0;0;1
799000;105;2;2;Segunda mano/buen estado;True;True;Chueca-Justicia;Centro;Madrid capital; No;Exterior;Piso;7609.52;Piso;1.0;12;0;0;0
249000;43;2;;Segunda mano/buen estado;False;True;Lavapiés-Embajadores;Centro;Madrid capital; Si;Interior;Piso;5790.7;Piso;0.0;38;0;1;1
265000;43;;;Segunda mano/buen estado;True;False;Lavapiés-Embajadores;Centro;Madrid capital; Si;Interior;Piso;6162.79;Piso;0.0;38;0;1;1
675000;90;;;Segunda mano/buen estado;True;True;Malasaña-Universidad;Centro;Madrid capital; Si;Exterior;Ático;7500.0;Piso;4.0;39;0;0;1
1309000;143;3;3;Segunda mano/buen estado;False;True;Sol;Centro;Madrid capital; Si;Exterior;Piso;9153.85;Piso;1.0;57;0;0;1
2575000;238;3;3;Segunda mano/buen estado;True;True;Huertas-Cortes;Centro;Madrid capital; Si;Exterior;Piso;10819.33;Piso;1.0;30;0;0;1
895000;112;;2;Segunda mano/buen estado;True;True;Huertas-Cortes;Centro;Madrid capital; Si;Exterior;Piso;7991.07;Piso;4.0;30;0;0;1
1200000;169;3;2;Segunda mano/buen estado;True;True;Malasaña-Universidad;Centro;Madrid capital; Si;Exterior;Piso;7100.59;Piso;1.0;39;0;0;1
2800000;265;4;5;Segunda mano/buen estado;True;False;Huertas-Cortes;Centro;Madrid capital; Si;Exterior;Piso;10566.04;Piso;5.0;30;0;0;1
850000;89;2;2;Segunda mano/buen estado;True;True;Chueca-Justicia;Centro;Madrid capital; Si;Exterior;Piso;9550.56;Piso;0.0;12;0;0;1
1250000;203;2;2;Segunda mano/buen estado;True;True;Palacio;Centro;Madrid capital; Si;Exterior;Piso;6157.64;Piso;3.0;50;0;0;1
750000;143;4;2;Segunda mano/buen estado;False;False;Palacio;Centro;Madrid capital; Si;Exterior;Piso;5244.76;Piso;1.0;50;0;0;1
1195000;134;2;2;Segunda mano/buen estado;True;True;Lavapiés-Embajadores;Centro;Madrid capital; Si;Exterior;Ático;8917.91;Piso;5.0;38;0;0;1
420000;43;;;Segunda mano/buen estado;True;True;Palacio;Centro;Madrid capital; Si;Interior;Piso;9767.44;Piso;1.0;50;0;1;1
435000;62;2;;Segunda mano/buen estado;False;True;Malasaña-Universidad;Centro;Madrid capital; Si;Exterior;Piso;7016.13;Piso;0.0;39;0;0;1
1295000;169;3;2;Segunda mano/buen estado;False;True;Malasaña-Universidad;Centro;Madrid capital; Si;Exterior;Piso;7662.72;Piso;1.0;39;0;0;1
850000;89;2;2;Segunda mano/buen estado;True;True;Chueca-Justicia;Centro;Madrid capital; Si;Exterior;Piso;9550.56;Piso;0.5;12;0;0;1
2400000;181;4;2;Segunda mano/buen estado;True;True;Sol;Centro;Madrid capital; No;Exterior;Piso;13259.67;Piso;4.0;57;0;0;0
459000;69;;;Segunda mano/buen estado;True;False;Lavapiés-Embajadores;Centro;Madrid capital; Si;Exterior;Piso;6652.17;Piso;1.0;38;0;0;1
1250000;150;2;2;Segunda mano/buen estado;True;True;Palacio;Centro;Madrid capital; Si;Exterior;Piso;8333.33;Piso;4.0;50;0;0;1
1900000;146;2;2;Segunda mano/buen estado;True;True;Chueca-Justicia;Centro;Madrid capital; Si;Exterior;Piso;13013.7;Piso;4.0;12;0;0;1
1295000;170;2;2;Segunda mano/buen estado;False;True;Malasaña-Universidad;Centro;Madrid capital; Si;Exterior;Dúplex;7617.65;Piso;4.0;39;0;0;1
2100000;231;3;2;Segunda mano/buen estado;False;False;Malasaña-Universidad;Centro;Madrid capital; Si;Exterior;Piso;9090.91;Piso;2.0;39;0;0;1
1250000;138;2;2;Segunda mano/buen estado;True;True;Lavapiés-Embajadores;Centro;Madrid capital; Si;Exterior;Dúplex;9057.97;Piso;5.0;38;0;0;1
1495000;198;3;2;Segunda mano/buen estado;True;True;Palacio;Centro;Madrid capital; Si;Exterior;Piso;7550.51;Piso;1.0;50;0;0;1
